campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
A,Adset 1,26-01-2025,796.36,98102,1600,0.0163,39,,1.64,Image,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Broad,Instagram,IN
A,Adset 1,27-01-2025,455.36,83162,1179,0.0142,29,1067.76,2.34,Video,3‑pack deal ends tonight — upgrade your men drawer with briefs.,Broad,Instagram,IN
A,Adset 1,28-01-2025,1398.53,423537,8159,0.0193,213,8425,6.02,Video,Seamless confidence for every day — new men athletic briefs.,Broad,Facebook,US
A,Adset 1,29-01-2025,715.8,416262,6086,0.0146,166,4671.36,6.53,Carousel,"All‑day comfort, zero pinch — try our men inner vests!",Broad,Facebook,IN
A,Adset 1,30-01-2025,,157562,2038,0.0129,55,1178.68,2.68,Image,No ride‑up guarantee — best‑selling men athletic briefs back in stock.,Retargeting,Facebook,IN
A,Adset 2,31-01-2025,,121637,1530,0.0126,38,737.03,0.67,Video,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Broad,Facebook,US
A,Adset 2,01-02-2025,783.06,507732,12757,0.0251,179,7065.13,9.02,Image,Invisible under tees — seamless men inner vests.,Broad,Facebook,US
A,Adset 2,02-02-2025,358.02,51855,1048,0.0202,29,842.21,2.35,UGC,"All‑day comfort, zero pinch — try our men inner vests!",Broad,Facebook,US
A,Adset 2,03-02-2025,742.66,375014,6447,0.0172,114,4991.08,6.72,UGC,Confidence starts inside — elevate with men athletic briefs.,Broad,Facebook,US
A,Adset 2,04-02-2025,519.58,322754,2881,0.0089,61,1684.29,3.24,Video,Confidence starts inside — elevate with men inner vests.,Broad,Facebook,UK
A,Adset 2,05-02-2025,350.47,252523,5734,0.0227,129,3709.99,10.59,Image,"Ultra‑soft waistband, no marks — premium men boxers.",Broad,Facebook,UK
A,Adset 2,06-02-2025,586.48,35014,828,0.0236,14,442.19,0.75,Video,Summer‑ready essentials — sweat‑wicking men briefs.,Lookalike,Facebook,US
A,Adset 2,07-02-2025,110.27,25467,500,0.0196,12,341.77,3.1,Image,Seamless confidence for every day — new men boxers.,Broad,Instagram,US
A,Adset 2,08-02-2025,442.85,490264,7530,0.0154,181,4214.83,9.52,Video,"Wire‑free ease, cloud‑soft cups — men inner vests that fits right.",Lookalike,Instagram,IN
A,Adset 2,09-02-2025,702.25,23822,,0.0163,8,169.52,0.24,Image,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,IN
A,Adset 2,10-02-2025,409.48,385416,5036,0.0131,135,5165.99,12.62,Image,"Ultra‑soft waistband, no marks — premium men trunks.",Lookalike,Instagram,UK
A,Adset 2,11-02-2025,534.52,484824,6728,0.0139,152,5817.57,10.88,Image,"Push comfort, not wires — everyday men briefs.",Broad,Facebook,US
A,Adset 2,12-02-2025,165.23,268668,3995,0.0149,117,3335.49,20.19,Carousel,Breathable cotton that moves with you — limited offer on men inner vests.,Broad,Instagram,US
A,Adset 2,13-02-2025,525.62,332973,5363,0.0161,125,4519.75,8.6,Video,Hot & comfy: men boxers now 20% off — feel the difference.,Retargeting,Facebook,US
A,Adset 2,14-02-2025,666.54,263165,4437,0.0169,117,3214.54,4.82,UGC,No ride‑up guarantee — best‑selling men briefs back in stock.,Retargeting,Instagram,US
A,Adset 2,15-02-2025,165.12,368092,8592,0.0233,184,3733.47,22.61,UGC,Confidence starts inside — elevate with men inner vests.,Lookalike,Facebook,US
A,Adset 2,16-02-2025,158.58,424902,5749,0.0135,202,7874.56,49.66,UGC,Invisible under tees — seamless men briefs.,Retargeting,Facebook,IN
A,Adset 2,17-02-2025,88.08,250079,4639,0.0186,130,4958.62,56.3,Carousel,"Push comfort, not wires — everyday men trunks.",Retargeting,Instagram,IN
A,Adset 2,18-02-2025,1101.81,453248,6686,0.0148,185,8171.67,7.42,Image,Seamless confidence for every day — new men athletic briefs.,Retargeting,Instagram,IN
A,Adset 2,19-02-2025,497,330799,6566,0.0198,182,3499.32,7.04,Image,Cooling mesh panels for workouts — men briefs you’ll actually love.,Broad,Facebook,US
A,Adset 2,20-02-2025,1199.51,243473,2439,0.01,65,1983.79,1.65,UGC,Seamless confidence for every day — new men boxers.,Broad,Instagram,IN
A,Adset 2,21-02-2025,1482.76,512995,5407,0.0105,136,3584.59,2.42,Carousel,Summer‑ready essentials — sweat‑wicking men athletic briefs.,Broad,Facebook,UK
A,Adset 2,22-02-2025,708.5,474751,7697,0.0162,234,10104.98,14.26,Image,Summer‑ready essentials — sweat‑wicking men athletic briefs.,Broad,Instagram,IN
A,Adset 2,23-02-2025,787.64,205492,3220,0.0157,103,3007.61,3.82,UGC,"Wire‑free ease, cloud‑soft cups — men inner vests that fits right.",Retargeting,Instagram,US
A,Adset 2,24-02-2025,114.13,424953,9199,0.0216,241,9866.66,86.45,Image,Hot & comfy: men trunks now 20% off — feel the difference.,Lookalike,Instagram,US
A,Adset 2,25-02-2025,1133.47,128150,1303,0.0102,22,463.45,0.41,Carousel,Doctors recommend breathable organic cotton — meet our men boxers.,Broad,Instagram,UK
A,Adset 2,26-02-2025,403.59,276243,4744,0.0172,139,5792.08,14.35,Image,Doctors recommend breathable organic cotton — meet our men athletic briefs.,Broad,Instagram,US
A,Adset 2,27-02-2025,442.19,369672,5810,0.0157,161,4603.08,10.41,Video,Seamless confidence for every day — new men boxers.,Lookalike,Instagram,US
A,Adset 2,28-02-2025,1066.9,188913,3834,0.0203,92,2641.01,2.48,Video,Hot & comfy: men boxers now 20% off — feel the difference.,Lookalike,Facebook,IN
A,Adset 2,01-03-2025,227.86,482706,9447,0.0196,147,4468.31,19.61,Carousel,3‑pack deal ends tonight — upgrade your men drawer with briefs.,Broad,Facebook,US
A,Adset 2,02-03-2025,359.74,333767,3270,0.0098,73,1566.38,4.35,Video,"Push comfort, not wires — everyday men briefs.",Broad,Instagram,US
A,Adset 2,03-03-2025,510.75,351119,7074,0.0201,177,4031.93,7.89,Video,No ride‑up guarantee — best‑selling men briefs back in stock.,Retargeting,Facebook,US
A,Adset 2,04-03-2025,177.87,116817,1161,0.0099,15,285.92,1.61,Video,Cooling mesh panels for workouts — men inner vests you’ll actually love.,Broad,Instagram,US
A,Adset 2,05-03-2025,924.67,43027,754,0.0175,20,459.64,0.5,UGC,Seamless confidence for every day — new men athletic briefs.,Broad,Instagram,IN
A,Adset 2,06-03-2025,517.86,326073,2329,0.0071,32,607.69,1.17,Video,Breathable microfiber that moves with you — limited offer on men trunks.,Broad,Instagram,IN
A,Adset 2,07-03-2025,393.73,282313,2378,0.0084,55,1780.94,4.52,Video,No ride‑up guarantee — best‑selling men boxers back in stock.,Broad,Facebook,US
A,Adset 2,08-03-2025,316.12,203660,1656,0.0081,31,658.24,2.08,Video,3‑pack deal ends tonight — upgrade your men drawer with inner vests.,Broad,Facebook,UK
A,Adset 2,09-03-2025,622.04,265208,4892,0.0184,117,3959.83,6.37,Carousel,3‑pack deal ends tonight — upgrade your men drawer with briefs.,Broad,Facebook,IN
A,Adset 2,10-03-2025,193.05,76810,546,0.0071,9,318.96,1.65,Video,Invisible under tees — seamless men athletic briefs.,Broad,Facebook,IN
B,Adset 2,11-03-2025,437.17,63705,1257,0.0197,25,575.93,1.32,Image,Invisible under tees — seamless men trunks.,Broad,Instagram,US
B,Adset 2,12-03-2025,183.19,278451,4144,0.0149,112,4947.68,27.01,Video,Doctors recommend breathable organic cotton — meet our men athletic briefs.,Retargeting,Instagram,IN
B,Adset 2,13-03-2025,261.5,351670,3262,0.0093,79,2641.25,10.1,Video,3‑pack deal ends tonight — upgrade your men drawer with briefs.,Broad,Facebook,UK
B,Adset 2,14-03-2025,596.19,107018,1665,0.0156,25,792.64,1.33,UGC,Seamless confidence for every day — new men trunks.,Broad,Facebook,US
B,Adset 2,15-03-2025,300.15,90416,1410,0.0156,29,785.56,2.62,UGC,"Wire‑free ease, cloud‑soft cups — men trunks that fits right.",Broad,Instagram,US
B,Adset 2,16-03-2025,84.69,175755,2412,0.0137,84,,38.21,Image,Hot & comfy: men briefs now 20% off — feel the difference.,Retargeting,Facebook,IN
B,Adset 2,17-03-2025,328.12,484200,13216,0.0273,335,14517.29,44.24,UGC,"Push comfort, not wires — everyday men athletic briefs.",Broad,Facebook,US
B,Adset 2,18-03-2025,99.02,303832,4900,0.0161,155,3633.81,36.7,Carousel,Breathable bamboo that moves with you — limited offer on men boxers.,Retargeting,Facebook,UK
B,Adset 2,19-03-2025,378.57,457617,6404,0.014,114,3476.13,9.18,Video,Doctors recommend breathable cotton — meet our men boxers.,Retargeting,Instagram,UK
B,Adset 2,20-03-2025,914.33,267381,2353,0.0088,53,1503.35,1.64,Video,"Push comfort, not wires — everyday men briefs.",Broad,Facebook,UK
B,Adset 2,21-03-2025,170.95,330875,5601,0.0169,139,4829.13,28.25,Image,Stretch that snaps back — durable men trunks.,Lookalike,Instagram,US
B,Adset 2,22-03-2025,589.11,170354,3299,0.0194,75,2893.98,4.91,Video,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Retargeting,Instagram,US
B,Adset 2,23-03-2025,97.95,213821,3726,0.0174,128,4792.45,48.93,Carousel,Stretch that snaps back — durable men athletic briefs.,Retargeting,Instagram,UK
B,Adset 2,24-03-2025,502.81,187613,1706,0.0091,68,1505.55,2.99,Image,"Push comfort, not wires — everyday men athletic briefs.",Retargeting,Instagram,IN
B,Adset 2,25-03-2025,92.96,485516,12328,0.0254,321,11907.64,128.09,Image,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Broad,Instagram,US
B,Adset 2,26-03-2025,950.89,227458,3917,0.0172,98,2956.92,3.11,UGC,Summer‑ready essentials — sweat‑wicking men inner vests.,Lookalike,Instagram,US
B,Adset 2,27-03-2025,64.47,182280,1848,0.0101,35,1137.84,17.65,Video,"Wire‑free ease, cloud‑soft cups — men boxers that fits right.",Broad,Facebook,US
B,Adset 2,28-03-2025,377.92,386650,3818,0.0099,85,1853.27,4.9,Image,"Wire‑free ease, cloud‑soft cups — men boxers that fits right.",Broad,Instagram,IN
B,Adset 2,29-03-2025,672.3,306938,3378,0.011,76,1543.14,2.3,UGC,Cooling mesh panels for workouts — men inner vests you’ll actually love.,Broad,Instagram,UK
B,Adset 2,30-03-2025,751.5,46074,645,0.014,18,423.7,0.56,Carousel,Invisible under tees — seamless men trunks.,Broad,Instagram,US
B,Adset 2,31-03-2025,965.64,242270,3463,0.0143,38,1095.18,1.13,Carousel,Seamless confidence for every day — new men inner vests.,Broad,Facebook,US
B,Adset 2,01-01-2025,175.78,449787,7247,0.0161,185,6546.78,37.24,Image,Seamless confidence for every day — new men inner vests.,Broad,Instagram,US
B,Adset 2,02-01-2025,501.55,346733,5649,0.0163,153,2835.42,5.65,Image,Stretch that snaps back — durable men athletic briefs.,Lookalike,Facebook,UK
B,Adset 2,03-01-2025,793.98,343595,5307,0.0154,117,4387.64,5.53,Image,Stretch that snaps back — durable men briefs.,Broad,Instagram,US
B,Adset 2,04-01-2025,563.98,116132,1904,0.0164,50,917.55,1.63,Image,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,IN
B,Adset 2,05-01-2025,,25478,423,0.0166,7,205.65,1.54,Carousel,"Push comfort, not wires — everyday men inner vests.",Broad,Facebook,IN
B,Adset 2,06-01-2025,877.96,329067,4573,0.0139,0,1608.94,1.83,UGC,Doctors recommend breathable bamboo — meet our men athletic briefs.,Broad,Instagram,US
B,Adset 2,07-01-2025,622.65,83177,1288,0.0155,37,1559.66,2.5,Image,No ride‑up guarantee — best‑selling men briefs back in stock.,Broad,Facebook,IN
B,Adset 2,08-01-2025,379.6,287150,6382,0.0222,110,2393.89,6.31,Video,"All‑day comfort, zero pinch — try our men athletic briefs!",Broad,Facebook,US
B,Adset 2,09-01-2025,770.28,99213,1000,0.0101,26,925.3,1.2,Video,"Push comfort, not wires — everyday men boxers.",Lookalike,Instagram,UK
B,Adset 2,10-01-2025,291.71,455936,8371,0.0184,266,6047.52,20.73,Image,Breathable modal that moves with you — limited offer on men trunks.,Broad,Instagram,US
